symbol,trading_date,ratio,methodology_key,methodology_version,provider,source_feed,quality,time_basis,observed_at,source_note
SNDK,2026-08-04,0.6727,FUTU_CHIPS_PROFIT_RATIO,1,futu,desktop-chip-distribution-history,TIME_UNVERIFIED,DAILY_TIME_UNVERIFIED,2026-09-16T00:31:45Z,"Daily value displayed by Futu desktop; effective intraday time is not disclosed"
SNDK,2026-08-05,0.5000,FUTU_CHIPS_PROFIT_RATIO,1,futu,desktop-chip-distribution-history,TIME_UNVERIFIED,DAILY_TIME_UNVERIFIED,2026-09-16T00:31:45Z,"Daily value displayed by Futu desktop; effective intraday time is not disclosed"
SNDK,2026-08-06,0.3587,FUTU_CHIPS_PROFIT_RATIO,1,futu,desktop-chip-distribution-history,TIME_UNVERIFIED,DAILY_TIME_UNVERIFIED,2026-09-16T00:31:45Z,"Daily value displayed by Futu desktop; effective intraday time is not disclosed"
SNDK,2026-08-07,0.2069,FUTU_CHIPS_PROFIT_RATIO,1,futu,desktop-chip-distribution-history,TIME_UNVERIFIED,DAILY_TIME_UNVERIFIED,2026-09-16T00:31:45Z,"Daily value displayed by Futu desktop; effective intraday time is not disclosed"
SNDK,2026-08-10,0.3127,FUTU_CHIPS_PROFIT_RATIO,1,futu,desktop-chip-distribution-history,TIME_UNVERIFIED,DAILY_TIME_UNVERIFIED,2026-09-16T00:31:45Z,"Daily value displayed by Futu desktop; effective intraday time is not disclosed"
SNDK,2026-08-11,0.5205,FUTU_CHIPS_PROFIT_RATIO,1,futu,desktop-chip-distribution-history,TIME_UNVERIFIED,DAILY_TIME_UNVERIFIED,2026-09-16T00:31:45Z,"Daily value displayed by Futu desktop; effective intraday time is not disclosed"
SNDK,2026-08-12,0.6291,FUTU_CHIPS_PROFIT_RATIO,1,futu,desktop-chip-distribution-history,TIME_UNVERIFIED,DAILY_TIME_UNVERIFIED,2026-09-16T00:31:45Z,"Daily value displayed by Futu desktop; effective intraday time is not disclosed"
SNDK,2026-08-13,0.8233,FUTU_CHIPS_PROFIT_RATIO,1,futu,desktop-chip-distribution-history,TIME_UNVERIFIED,DAILY_TIME_UNVERIFIED,2026-09-16T00:31:45Z,"Daily value displayed by Futu desktop; effective intraday time is not disclosed"
SNDK,2026-08-14,0.9414,FUTU_CHIPS_PROFIT_RATIO,1,futu,desktop-chip-distribution-history,TIME_UNVERIFIED,DAILY_TIME_UNVERIFIED,2026-09-16T00:31:45Z,"Daily value displayed by Futu desktop; effective intraday time is not disclosed"
SNDK,2026-08-17,0.9204,FUTU_CHIPS_PROFIT_RATIO,1,futu,desktop-chip-distribution-history,TIME_UNVERIFIED,DAILY_TIME_UNVERIFIED,2026-09-16T00:31:45Z,"Daily value displayed by Futu desktop; effective intraday time is not disclosed"
SNDK,2026-08-18,0.7350,FUTU_CHIPS_PROFIT_RATIO,1,futu,desktop-chip-distribution-history,TIME_UNVERIFIED,DAILY_TIME_UNVERIFIED,2026-09-16T00:31:45Z,"Daily value displayed by Futu desktop; effective intraday time is not disclosed"
SNDK,2026-08-19,0.7000,FUTU_CHIPS_PROFIT_RATIO,1,futu,desktop-chip-distribution-history,TIME_UNVERIFIED,DAILY_TIME_UNVERIFIED,2026-09-16T00:31:45Z,"Daily value displayed by Futu desktop; effective intraday time is not disclosed"
SNDK,2026-08-20,0.6408,FUTU_CHIPS_PROFIT_RATIO,1,futu,desktop-chip-distribution-history,TIME_UNVERIFIED,DAILY_TIME_UNVERIFIED,2026-09-16T00:31:45Z,"Daily value displayed by Futu desktop; effective intraday time is not disclosed"
SNDK,2026-08-21,0.6286,FUTU_CHIPS_PROFIT_RATIO,1,futu,desktop-chip-distribution-history,TIME_UNVERIFIED,DAILY_TIME_UNVERIFIED,2026-09-16T00:31:45Z,"Daily value displayed by Futu desktop; effective intraday time is not disclosed"
SNDK,2026-08-24,0.4369,FUTU_CHIPS_PROFIT_RATIO,1,futu,desktop-chip-distribution-history,TIME_UNVERIFIED,DAILY_TIME_UNVERIFIED,2026-09-16T00:31:45Z,"Daily value displayed by Futu desktop; effective intraday time is not disclosed"
SNDK,2026-08-25,0.3933,FUTU_CHIPS_PROFIT_RATIO,1,futu,desktop-chip-distribution-history,TIME_UNVERIFIED,DAILY_TIME_UNVERIFIED,2026-09-16T00:31:45Z,"Daily value displayed by Futu desktop; effective intraday time is not disclosed"
SNDK,2026-08-26,0.4691,FUTU_CHIPS_PROFIT_RATIO,1,futu,desktop-chip-distribution-history,TIME_UNVERIFIED,DAILY_TIME_UNVERIFIED,2026-09-16T00:31:45Z,"Daily value displayed by Futu desktop; effective intraday time is not disclosed"
SNDK,2026-08-27,0.4210,FUTU_CHIPS_PROFIT_RATIO,1,futu,desktop-chip-distribution-history,TIME_UNVERIFIED,DAILY_TIME_UNVERIFIED,2026-09-16T00:31:45Z,"Daily value displayed by Futu desktop; effective intraday time is not disclosed"
SNDK,2026-08-28,0.4307,FUTU_CHIPS_PROFIT_RATIO,1,futu,desktop-chip-distribution-history,TIME_UNVERIFIED,DAILY_TIME_UNVERIFIED,2026-09-16T00:31:45Z,"Daily value displayed by Futu desktop; effective intraday time is not disclosed"
SNDK,2026-08-31,0.6963,FUTU_CHIPS_PROFIT_RATIO,1,futu,desktop-chip-distribution-history,TIME_UNVERIFIED,DAILY_TIME_UNVERIFIED,2026-09-16T00:31:45Z,"Daily value displayed by Futu desktop; effective intraday time is not disclosed"
SNDK,2026-09-01,0.5426,FUTU_CHIPS_PROFIT_RATIO,1,futu,desktop-chip-distribution-history,TIME_UNVERIFIED,DAILY_TIME_UNVERIFIED,2026-09-16T00:31:45Z,"Daily value displayed by Futu desktop; effective intraday time is not disclosed"
SNDK,2026-09-02,0.6139,FUTU_CHIPS_PROFIT_RATIO,1,futu,desktop-chip-distribution-history,TIME_UNVERIFIED,DAILY_TIME_UNVERIFIED,2026-09-16T00:31:45Z,"Daily value displayed by Futu desktop; effective intraday time is not disclosed"
SNDK,2026-09-03,0.6324,FUTU_CHIPS_PROFIT_RATIO,1,futu,desktop-chip-distribution-history,TIME_UNVERIFIED,DAILY_TIME_UNVERIFIED,2026-09-16T00:31:45Z,"Daily value displayed by Futu desktop; effective intraday time is not disclosed"
SNDK,2026-09-04,0.9591,FUTU_CHIPS_PROFIT_RATIO,1,futu,desktop-chip-distribution-history,TIME_UNVERIFIED,DAILY_TIME_UNVERIFIED,2026-09-16T00:31:45Z,"Daily value displayed by Futu desktop; effective intraday time is not disclosed"
SNDK,2026-09-08,0.8777,FUTU_CHIPS_PROFIT_RATIO,1,futu,desktop-chip-distribution-history,TIME_UNVERIFIED,DAILY_TIME_UNVERIFIED,2026-09-16T00:31:45Z,"Daily value displayed by Futu desktop; effective intraday time is not disclosed"
SNDK,2026-09-09,0.8582,FUTU_CHIPS_PROFIT_RATIO,1,futu,desktop-chip-distribution-history,TIME_UNVERIFIED,DAILY_TIME_UNVERIFIED,2026-09-16T00:31:45Z,"Daily value displayed by Futu desktop; effective intraday time is not disclosed"
SNDK,2026-09-10,0.7350,FUTU_CHIPS_PROFIT_RATIO,1,futu,desktop-chip-distribution-history,TIME_UNVERIFIED,DAILY_TIME_UNVERIFIED,2026-09-16T00:31:45Z,"Daily value displayed by Futu desktop; effective intraday time is not disclosed"
SNDK,2026-09-11,0.6318,FUTU_CHIPS_PROFIT_RATIO,1,futu,desktop-chip-distribution-history,TIME_UNVERIFIED,DAILY_TIME_UNVERIFIED,2026-09-16T00:31:45Z,"Daily value displayed by Futu desktop; effective intraday time is not disclosed"
SNDK,2026-09-14,0.4116,FUTU_CHIPS_PROFIT_RATIO,1,futu,desktop-chip-distribution-history,TIME_UNVERIFIED,DAILY_TIME_UNVERIFIED,2026-09-16T00:31:45Z,"Daily value displayed by Futu desktop; effective intraday time is not disclosed"
SNDK,2026-09-15,0.3205,FUTU_CHIPS_PROFIT_RATIO,1,futu,desktop-chip-distribution-history,TIME_UNVERIFIED,DAILY_TIME_UNVERIFIED,2026-09-16T00:31:45Z,"Daily value displayed by Futu desktop; effective intraday time is not disclosed"
